nombre_original;nombre_amigable;Categoria;Cantidad;Unidad;Material;SCH / Espesor;Rating;Mantenimiento;Observaciones;Ficha técnica;Manual;Imagen
Sólido1_21;TRANSMISOR DE PRESIÓN;Equipos;;;Génerico;;;;;;;Activos\Imagenes\REGISTRADOR\PIT-01.png
Solid1_125;TAPÓN DE CABEZA HEXAGONAL AVELLANADO;Tornillería;;;Latón,amarrillo claro;;;; Tapón de cabeza hexagonal avellanado 219P de Parker 219P-8;;;Activos\Imagenes\Esparrágo\TAPON01.png
Solid1_126;TAPÓN DE CABEZA HEXAGONAL AVELLANADO;Tornillería;;;Latón,amarrillo claro;;;; Tapón de cabeza hexagonal avellanado 219P de Parker 219P-9;;;Activos\Imagenes\Esparrágo\TAPON01.png
Solid1_127;TAPÓN DE CABEZA HEXAGONAL AVELLANADO;Tornillería;;;Latón,amarrillo claro;;;; Tapón de cabeza hexagonal avellanado 219P de Parker 219P-10;;;Activos\Imagenes\Esparrágo\TAPON01.png
Sólido1_4;SOPORTE COMPUTADOR DE FLUJO;Soportes;;;Génerico;;;;;;;
Solid1_144;"TUBO 4""";Tubería;;;Acero, carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid1_659;"TERMOPOZO DE 3/4""";Equipos;;;Génerico;;;;;;;
Sólido10;BARRIDO DE TUBERÍA;Tubería;;;Cobre;;;; ASTM B 88 Tubo 1/2 - Type L;;;
Solid2_132;"VÁLVULA DE BOLA  2 CUERPOS 4""";Equipos;;;Génerico;;;;RF-ANSI 300;;;Activos/Imagenes/Valvulas/Valvulabola.png
Solid1_146;"TUBO 4""";Tubería;;;Acero, carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid7_1;"TEE RECTA 4""";Accesorios soldados;;;Acero, carbono;;;;SCH STD ASTM 234;;;
Solid1_135;"TUBO 4""";Tubería;;;Acero, carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid2_130;"VÁLVULA DE BOLA  2 CUERPOS 4""";Equipos;;;Génerico;;;;RF-ANSI 300;;;Activos/Imagenes/Valvulas/Valvulabola.png
Solid7;"TEE RECTA 4""";Accesorios soldados;;;Acero, carbono;;;;SCH STD ASTM 234;;;
Solid1_2;"CODO 4""-90°";Accesorios soldados;;;Acero,Carbono;;;; RL. SCH. STD. ASTM A860 WPHY 52;;;Activos\Imagenes\Codos\CODO-02.png
Solid1;"CODO 4""-90°";Accesorios soldados;;;Acero,Carbono;;;; RL. SCH. STD. ASTM A860 WPHY 53;;;Activos\Imagenes\Codos\CODO-02.png
Solid1_150;"TUBO 4""";Tubería;;;Acero, carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid2_133;"VÁLVULA DE BOLA  2 CUERPOS 4""";Equipos;;;Génerico;;;;RF-ANSI 300;;;Activos/Imagenes/Valvulas/Valvulabola.png
Solid3;"BRIDA CIEGA 4""";Accesorios soldados;;;Génerico;;;;"ASTM-A-105-GR-II ,BRIDA CIEGA ANSI 300 x 4""";;;
